能源用戶名稱,所在區域
唐榮鐵工廠股份有限公司,高雄市小港區
燿華電子股份有限公司土城一廠,新北市土城區
豐泰企業股份有限公司(豐帝廠),雲林縣斗六市
大鐘印染股份有限公司,桃園市中壢區
義芳化學工業股份有限公司桃園廠,桃園市蘆竹區
國亨化學股份有限公司,高雄市路竹鄉
臺北自來水事業處,新北市大安區
宜聯鋼鐵股份有限公司,宜蘭縣冬山鄉
正新鋁業股份有限公司,桃園市中壢區
中國砂輪企業股份有限公司鶯歌廠,新北市鶯歌區
新倡發工業股份有限公司,高雄市岡山鎮
台暉鋁業股份有限公司,臺南市官田區
綿春纖維工業股份有限公司蘆竹廠,桃園市蘆竹區
台豪鋼鐵股份有限公司,屏東縣萬丹鄉
大東紡織股份有限公司中壢廠,桃園市中壢區
台灣菸酒股份有限公司內埔菸廠,屏東縣內埔鄉
欣興電子股份有限公司,桃園市桃園區
大全彩藝工業股份有限公司新竹工廠,新竹縣香山區
攸紘企業股份有限公司高雄廠,高雄市燕巢鄉
台洋冷凍食品工業股份有限公司,高雄市大寮鄉
萬寶至馬達股份有限公司,高雄市楠梓區
台灣菸酒股份有限公司林口酒廠,桃園市龜山區
幸記工業股份有限公司,臺中市烏日區
台元紡織股份有限公司竹南染整廠,苗栗縣竹南鎮
光聯興業股份有限公司楊梅廠,桃園市楊梅區
凱美電機股份有限公司豐田廠,雲林縣大埤鄉
久緯股份有限公司,新竹縣香山區
康那香企業股份有限公司,臺南市佳里區
統一實業股份有限公司,臺南市永康區
中鴻鋼鐵股份有限公司冷軋廠,高雄市橋頭鄉
宏偉冷凍食品股份有限公司,屏東縣高樹鄉
敬鵬工業股份有限公司,桃園市蘆竹區
台灣日立股份有限公司桃園工廠,桃園市蘆竹區
金百利股份有限公司中壢廠,桃園市新屋區
三益制動科技股份有限公司,臺南市官田區
維新鋁業股份有限公司,臺南市仁德區
萬在工業股份有限公司,臺南市關廟區
中鴻鋼鐵股份有限公司鋼管廠,高雄市大寮鄉
台灣華可貴股份有限公司中壢第二工廠,桃園市中壢區
利樂包裝股份有限公司林口廠,桃園市龜山區
上展金屬工業股份有限公司,桃園市龜山區
高力熱處理工業股份有限公司中壢一廠,桃園市中壢區
合豐工廠股份有限公司,高雄市路竹鄉
彰源企業股份有限公司斗六廠,雲林縣斗六市
廣泰金屬股份有限公司官田廠,臺南市官田區
臺群工業股份有限公司,桃園市桃園區
士林電機廠股份有限公司新豐廠,新竹縣新豐鄉
葉盟工業股份有限公司岡山廠,高雄市岡山鎮
精工陶瓷股份有限公司,苗栗縣竹南鎮
圓丁冷凍企業股份有限公司,宜蘭縣蘇澳鎮
永豐餘消費品實業股份有限公司楊梅廠,桃園市楊梅區
南元紡織股份有限公司新市廠,臺南市新市區
世塑膠股份有限公司,臺南市麻豆區
