"","U_ID","CODEBASE","CODE1","CODE2","VILLCODE","VILLAGE_ID","VILLAGE","TOWN_ID","TOWN","COUNTY_ID","COUNTY","USE_CODE","LINE","SPECODE","X","Y","AREA","M","USECODE"
"2850",1942,"A6311-0795-00","A6311-62-003","A6311-62","A6311-008-00","008","後港里","63000110","士林區","63000","臺北市","05","01",NA,302073.41969,2776253.75864,131634.65811,NA,NA
"2851",1943,"A6311-0761-00","A6311-57-008","A6311-57","A6311-006-00","006","舊佳里","63000110","士林區","63000","臺北市","02","05",NA,302927.08336,2776478.38028,6977.23905,NA,NA
"2852",1944,"A6311-0752-00","A6311-58-001","A6311-58","A6311-007-00","007","福佳里","63000110","士林區","63000","臺北市","03","02",NA,302629.85687,2776517.89999,2083.64512,NA,NA
"2853",1945,"A6311-0785-00","A6311-60-009","A6311-60","A6311-021-00","021","社園里","63000110","士林區","63000","臺北市","12","01","行水區",301164.39965,2776333.50354,75167.8205,NA,NA
"2854",1946,"A6311-0754-00","A6311-56-006","A6311-56","A6311-006-00","006","舊佳里","63000110","士林區","63000","臺北市","02","05",NA,303109.91062,2776513.52494,2424.28227,NA,NA
"2855",1947,"A6311-0780-00","A6311-62-003","A6311-62","A6311-008-00","008","後港里","63000110","士林區","63000","臺北市","04","05",NA,301792.52154,2776366.56633,57922.41309,NA,NA
"2856",1948,"A6311-0766-00","A6311-58-004","A6311-58","A6311-007-00","007","福佳里","63000110","士林區","63000","臺北市","03","05",NA,302622.48472,2776433.37962,6729.11751,NA,NA
"2857",1949,"A6311-0765-00","A6311-62-001","A6311-62","A6311-007-00","007","福佳里","63000110","士林區","63000","臺北市","01","05",NA,302513.12026,2776437.75049,26195.29361,NA,NA
"2858",2123,"A6310-0219-00","A6310-01-017","A6310-01","A6310-033-00","033","安泰里","63000100","內湖區","63000","臺北市","11","05",NA,312154.74715,2775347.14846,382823.71951,NA,NA
"2859",2124,"A6311-0963-00","A6311-74-001","A6311-74","A6311-020-00","020","社新里","63000110","士林區","63000","臺北市","15","05",NA,300709.69806,2775766.1062,15189.1089,NA,NA
"2860",2125,"A6310-0028-00","A6310-03-001","A6310-03","A6310-015-00","015","碧山里","63000100","內湖區","63000","臺北市","11","02",NA,309669.82983,2775846.81517,4224.77194,NA,NA
"2861",2126,"A6311-0945-00","A6311-67-010","A6311-67","A6311-004-00","004","福德里","63000110","士林區","63000","臺北市","15","05",NA,302642.20805,2775809.54565,12806.62208,NA,NA
"2862",2127,"A6310-0027-00","A6310-04-001","A6310-04","A6310-014-00","014","金瑞里","63000100","內湖區","63000","臺北市","03","05",NA,308929.23669,2775854.02842,3642.64438,NA,NA
"2863",2128,"A6311-0937-00","A6311-72-008","A6311-72","A6311-019-00","019","社子里","63000110","士林區","63000","臺北市","02","02",NA,301435.16429,2775825.39592,5113.11053,NA,NA
